name,logo,image,image_upright,image_caption,trading_name,former_name,type,traded_as,industry,area_served,key_people,products,services,revenue,revenue_year,operating_income,income_year,net_income,net_income_year,assets,assets_year,equity,equity_year,founders,founded,hq_location,hq_location_city,hq_location_country,num_employees,website,footnotes,_company_name,logo_alt,image_alt,trade_name,founder,brands,logo_size,image_size,location,subsid,owner,foundation,predecessor,num_employees_year,former_names,ISIN,logo_upright,logo_caption,num_locations,num_locations_year,module,parent,homepage,predecessors,owners,location_city,location_country,divisions,locations,members,members_year,production,defunct,fate,successor,native_name,logo_class,genre
Keurig Dr Pepper Inc.,Keurig Dr Pepper.svg,,,,,"{{plainlist|
* Green Mountain Coffee Roasters (1979–2014)
* Keurig Green Mountain (2014–2018)}}",[[Public company|Public]],{{ubl|NASDAQ|KDP|[[Nasdaq-100]] component|[[S&P 500]] component}} {{NASDAQ|KDP}},{{ubl|[[Drink industry|Beverage]]|Appliance manufacturing}},,"{{ubl|[[Timothy Cofer|Tim Cofer]] ([[Chief executive officer|CEO]])|ref| name=KDP|
{{cite web 
|url=https://keurigdrpepper.com/leading-with-vision-tim-cofer-assumes-ceo-role-at-kdp/
|title=Leading with Vision: Tim Cofer Assumes CEO Role at KDP
|website=KeurigDrPepper.com
|date=26 April 2024
|access-date=8 September 2024
|language=
}}|</ref>|
|[[Robert Gamgort]] ([[executive chairman]])}}",,,{{Increase}} {{US$|15.3&nbsp;billion|link|=|yes}} (2024),,{{Decrease}} {{US$|2.59}} &nbsp;billion (2024),,{{Decrease}} {{US$|1.44}} &nbsp;billion (2024),,{{Increase}} {{US$|53.4}} &nbsp;billion (2024),,{{Decrease}} {{US$|24.2}} &nbsp;billion (2024),,,"{{Start date and age|1979}} (as Green Mountain Coffee Roasters) in [[Waitsfield, Vermont]], U.S.","{{Unbulleted list |[[Burlington, Massachusetts]], U.S.|[[Frisco, Texas]], U.S.}}",,,"29,400 (2024)",{{URL|keurigdrpepper.com}},,Keurig Dr Pepper,,,,[[Bob Stiller|Robert Stiller]],"{{collapsible list|
* [[Keurig]] brewers
* [[K-Cup]]s
* [[Green Mountain Coffee]]
* [[Dr Pepper]] (US Canada)
* [[Snapple]]
* [[Schweppes]] (North America)
* [[7 Up]] (U.S. only)
* [[Sun Drop]] (U.S. only)
* [[A&W Root Beer|A&W]] (Worldwide except Canada)
* [[Canada Dry]]
* [[Canfield's]]
* [[Crush (drink)|Crush]]
* [[Hawaiian Punch]] (U.S. only)
* [[Stewart's Fountain Classics|Stewart's Root Beer]]
* [[IBC Root Beer]]
* [[Mott's]]
* [[Mr & Mrs T]]
* [[Nantucket Nectars]]
* [[Nehi]]
* [[Vernors]]
* [[RC Cola]] (U.S. only)
* [[Squirt (soft drink)|Squirt]]
* [[Sunkist (soft drink)|Sunkist]]
* [[Yoo-hoo]]}}",,,,,,,[[Dr Pepper Snapple Group]],,,{{ISIN|sl|=|n|pl|=|y|US49271VAP58}},,,,,,,,,"{{ubl|[[JAB Holding Company]] (27%)|[[Mondelez International]] (5.3%)|ref|{{cite web|url=https://www.sec.gov/Archives/edgar/data/1418135/000119312522133702/d293428ddef14a.htm#toc293428_34|title=2022 proxy statement|date=April 29, 2022|publisher=Securities and Exchange commission|access-date=June 4, 2022|archive-date=December 8, 2022|archive-url=https://web.archive.org/web/20221208194554/https://www.sec.gov/Archives/edgar/data/1418135/000119312522133702/d293428ddef14a.htm#toc293428_34|url-status=live}}|</ref>}}",,,,,,,,,,,,,
KLA Corporation,KLA Corp. logo.svg {{!}} class=skin-invert-image,,,,,KLA-Tencor Corporation (1997–2019),[[Public company|Public]],{{Unbulleted list|NASDAQ|KLAC|[[Nasdaq-100]] component|[[S&P 500]] component}} {{NASDAQ|KLAC}},[[Semiconductor]]s,,{{unbulleted list| Robert Calderoni ([[chairman]]) |Richard P. Wallace ([[Chief executive officer|CEO]] & [[President (corporate title)|president]])}},"Process control systems and solutions that support [[semiconductor]], [[Wafer (electronics)|wafer]], [[reticle (semiconductor industry)|reticle]] and other related industries",,{{increase}} US$12.2&nbsp;billion (2025),,{{increase}} US$4.78&nbsp;billion (2025),,{{increase}} US$4.06&nbsp;billion (2025),,{{increase}} US$16.1&nbsp;billion (2025),,{{increase}} US$4.69&nbsp;billion (2025),,,,,,,"{{circa|15,000}}",{{URL|https://www.kla.com/|kla.com}},Financials {{as of|2025|06|30|lc|=|y|df|=|US}} .,KLA Corporation,,,,,,,,"[[Milpitas, California]], United States",,,{{start date and age|1997}} (merger of KLA and Tencor),,2025,,,,,,,,,,,,,,,,,,,,,,,,
The Kraft Heinz Company,KraftHeinz.svg,Kraft Heinz Headquarters Chicago.jpg,,Kraft Heinz co-headquarters at the [[Aon Center (Chicago)|Aon Center]] in the [[Chicago Loop]],,,[[Public company|Public]],{{ubl|NASDAQ|KHC|[[Nasdaq-100]] component|[[S&P 500]] component}} {{NASDAQ|KHC}},[[Food industry|Food]],Worldwide,"{{plainlist|
* [[Miguel Patricio]] ([[chairman]])
* [[John T. Cahill (businessman)|John T. Cahill]] (vice chairman)
* Carlos Abrams-Rivera ([[Chief executive officer|CEO]])
* Andre Maciel ([[Chief financial officer|CFO]])}}",{{unbulleted list|[[Drink|Beverages]]|[[Convenience food]]s|[[Snack food]]s|[[Foodservice]]}},,{{decrease}} {{US$|25.8 billion|link|=|yes}},2024,{{decrease}} US$1.68 billion,2024,{{decrease}} US$2.74 billion,2024,{{decrease}} US$88.3 billion,2024,{{decrease}} US$49.2 billion,2024,,{{Start date and age|2015|07|02}},,"[[Chicago|Chicago, Illinois]] and [[Pittsburgh|Pittsburgh, Pennsylvania]]",United States,"{{circa|36,000}}",{{URL|https://kraftheinzcompany.com/}},,Kraft Heinz,,,,,,200,200,,,,,,2024,,,,,,,,,,,"{{plainlist|
*[[Berkshire Hathaway]] (27.5%)|ref|{{Cite news |title=Why Kraft Heinz Is Warren Buffett's Worst Bet |date=2024-04-11 |url=https://www.youtube.com/watch?v=poXomSdk_J0 |work=CNBC}}|</ref>|}}",,,"{{unbulleted list|[[Kraft Foods|Kraft Foods Group, Inc.]]|[[Heinz|The H.J. Heinz Company]]}}",,,,,Second half of 2026 (expected),Pending split into two companies,Global Taste Elevation Co.<br/>North American Grocery Co.,,,
Lam Research Corporation,Lam Research logo.svg,,,,,,[[Public company|Public]],{{ubl|NASDAQ|LRCX|[[Nasdaq-100]] component|[[S&P 500]] component}} {{NASDAQ|LRCX}},[[Semiconductor]]s,,Tim Archer ([[Chief executive officer|CEO]] and [[President (corporate title)|president]])<br />[[Abhi Talwalkar]] ([[chairman]]),Semiconductor manufacturing products,,{{increase}} {{US$|18.4&nbsp;billion|link|=|yes}} (2025),,{{increase}} US$5.90&nbsp;billion (2025),,{{increase}} US$5.36&nbsp;billion (2025),,{{increase}} US$21.3&nbsp;billion (2025),,{{increase}} US$9.86&nbsp;billion (2025),,,{{Start date and age|1980}},"[[Fremont, California]], U.S.",,,"19,000 (2025)",{{url|https://www.lamresearch.com/|lamresearch.com}},Financials {{as of|2025|06|30|lc|=|y|df|=|US}} .,Lam Research,,,,[[David K. Lam]],,,,,,,,,,,,1.15,,,,,,,,,,,,,,,,,,,,,
Linde plc,Linde plc logo.png,,,,,,[[Public limited company|Public]],{{Unbulleted list|NASDAQ|LIN|[[Nasdaq-100]] component|[[S&P 100]] component|[[S&P 500]] component}} {{NASDAQ|LIN}},[[Chemical industry]],,{{unbulleted list|Sanjiv Lamba ([[Chief executive officer|CEO]])|[[Steve Angel]] ([[chairman]])|Matthew J. White ([[Chief financial officer|CFO]])}},"[[Industrial gas]] production, medical gas and [[air separation]] [[physical plant]] engineering, logistics services",,{{increase}} {{US$|33.01&nbsp;billion|link|=|yes}} (2024),,{{increase}} US$8.635&nbsp;billion (2024),,{{increase}} US$6.565&nbsp;billion (2024),,{{decrease}} US$80.15&nbsp;billion (2024),,{{decrease}} US$38.09&nbsp;billion (2024),,,{{start date and age|df|=|y|1879|6|21}},"{{ubl|[[Woking]], United Kingdom (principal executive offices)|[[Dublin]], Ireland<br>(legal domicile)}}",,,"65,289 (2024)",{{URL|linde.com}},,Linde plc,,,,[[Carl von Linde]],,,,,"[[Praxair]], [[Lincare Holdings]], [[BOC (company)|BOC]], Afrox, American HomePatient, NuCo2, AUECC, GTG Plin, Nauticor",,,,,,{{ISIN|sl|=|n|pl|=|y|IE000S9YS762}},,,,,,,,,,,,,,,,,,,,,,
lululemon athletica inc.,Lululemon Athletica logo.svg,Lululemon Grand Opening Miami Worldcenter.jpg,,Lululemon store in [[Miami]],,,[[Public company|Public]],{{unbulleted list|NASDAQ|LULU|[[Nasdaq-100]] component|[[S&P 500]] component}} {{NASDAQ|LULU}},[[Clothing industry|Clothing]]<br />Retail,Worldwide,"{{Unbulleted list
|Calvin McDonald ([[Chief executive officer|CEO]])
|Meghan Frank ([[Chief financial officer|CFO]])
|Sun Choe ([[Chief Product Officer|CPO]])
|Celeste Burgoyne ([[Executive vice president|EVP]], Americas)
|Isabella Pirzadeh ([[Head Of Design|HOD]])}}",[[Sportswear]],,{{nowrap|increase| |US$|10.6&nbsp;billion|link|=|yes| (2024)}} {{increase}} {{US$|10.6&nbsp;billion|link|=|yes}} (2024),,{{nowrap|increase| |US$|2.51&nbsp;billion| (2024)}} {{increase}} {{US$|2.51&nbsp;billion}} (2024),,{{nowrap|increase| |US$|1.81&nbsp;billion| (2024)}} {{increase}} {{US$|1.81&nbsp;billion}} (2024),,{{nowrap|increase| |US$|7.60&nbsp;billion| (2024)}} {{increase}} {{US$|7.60&nbsp;billion}} (2024),,{{nowrap|increase| |US$|4.32&nbsp;billion| (2024)}} {{increase}} {{US$|4.32&nbsp;billion}} (2024),,,,"[[Vancouver]], British Columbia, Canada",,,"{{circa|39,000}} (2025)",,,Lululemon,,,,[[Chip Wilson]],Lab,120,,,,[[Chip Wilson]] (8.4%),{{start date and age|1998}},,,,{{ISIN|sl|=|n|pl|=|y|US5500211090}},,,,,,,{{URL|https://corporate.lululemon.com/about-us|lululemon.com}},,,,,{{unbulleted list|Lululemon Athletica|OQOQO|Ivivva Athletica}},767 (2025),,,,,,,,,
"Marriott International, Inc.",Marriott International.svg {{!}} class=skin-invert,,,,,,[[Public company|Public]],{{ubl|class|=|nowrap|NASDAQ|MAR| (Class A)|[[Nasdaq-100]] component|[[S&P 500]] component}} {{NASDAQ|MAR}} (Class A),[[Hospitality industry|Hospitality]],Worldwide,{{ubl|David Marriott ([[chairman]])|Anthony Capuano ([[Chief executive officer|CEO]])}},{{ubl|[[Hotels]]|[[Resorts]]}},,{{increase}} {{US$|25.1 billion|link|=|yes}} (2024),,{{decrease}} US$3.77 billion (2024),,{{decrease}} US$2.38 billion (2024),,{{increase}} US$‪26.2 billion (2024),,{{decrease}} −US$2.99 billion (2024),,{{ubl|[[J. Willard Marriott]]|[[Alice Marriott]]}},"{{Start date and age|1927|3|5}} in [[Washington, D.C.]], U.S. (as Marriott Corporation)<br> {{Start date and age|1993}} (as Marriott International)",,,,"418,000 (2024)",{{url|https://www.marriott.com/|marriott.com}},,Marriott International,,,,,,240px,,"[[Bethesda, Maryland]], U.S.","{{ubl
|[[Marriott Hotels & Resorts]]
|[[The Ritz-Carlton Hotel Company]]
|[[Le Méridien]]
|[[Sheraton Hotels and Resorts]]
|[[Westin Hotels & Resorts]]}}",,,[[Marriott Corporation]],,,,,,,,,,,,,,,,"9,400+ (2025)",,,,,,,,,
"Marvell Technology, Inc.",Marvell_Logo.svg,Marvell Santa Clara May 2011.jpg,1.2,,,,[[Public company|Public]],{{ubl|NASDAQ|MRVL|[[Nasdaq-100]] component}} {{NASDAQ|MRVL}},[[Semiconductor]]s,,"{{Unbulleted list
  |Matthew Murphy ([[chairman]], [[president (corporate title)|president]] and [[Chief executive officer|CEO]])
  |Chris Koopmans ([[Chief operating officer|COO]])}}",{{hlist|[[Semiconductor device]]| [[application-specific integrated circuit]]| [[integrated circuit]]| [[central processing unit]]| [[data processing unit]]}},,{{increase}} {{US$|5.767&nbsp;billion|link|=|yes}} (2025),,{{decrease}} US$−720&nbsp;million (2025),,{{increasenegative}} US$−885&nbsp;million (2025),,{{decrease}} US$20.20&nbsp;billion (2025),,{{decrease}} US$13.43&nbsp;billion (2025),,{{unbulleted list|[[Sehat Sutardja]]|[[Weili Dai]]|Pantas Sutardja}},{{Start date and age|1995}},"[[Santa Clara, California]], U.S.",,,"7,042 (2025)",{{URL|https://www.marvell.com/|marvell.com}},Financials {{as of|2025|02|01|lc|=|y|df|=|US}} .,Marvell Technology,,,,,,,,,{{unbulleted list|[[Inphi Corporation]]|[[Marvell Software Solutions Israel]]}},,,,,,{{ISIN|sl|=|n|pl|=|y|US5738741041}},1.2,,,,,,,,,,,,,,,,,,,,,
"MercadoLibre, Inc.",[[File:MercadoLibre.svg|150px]]<br/>[[File:Mercado Livre logo.svg|150px]],Mercadolibre edificio saavedra.jpg,,"Former headquarters in [[Saavedra, Buenos Aires]], July 2021",,,[[Public company|Public]],{{ubl|NASDAQ|MELI|[[Nasdaq-100]] component|B3 (stock exchange)|MELI34}} {{NASDAQ|MELI}} {{B3 (stock exchange)|MELI34}},[[E-commerce]],"{{collapsible list 
 | title |=| 18 Countries
 | [[Argentina]]
 | [[Bolivia]]
 | [[Brazil]]
 | [[Chile]]
 | [[Colombia]]
 | [[Costa Rica]]
 | [[Ecuador]]
 | [[El Salvador]]
 | [[Guatemala]]
 | [[Honduras]]
 | [[Mexico]]
 | [[Nicaragua]]
 | [[Panama]]
 | [[Paraguay]]
 | [[Peru]]
 | [[Dominican Republic]]
 | [[Uruguay]]
 | [[Venezuela]]}}","{{unbulleted list|[[Marcos Galperin]] ([[chairman]], [[President (corporate title)|president]] & [[chief executive officer|CEO]])| Martin de los Santos ([[chief financial officer|CFO]])|Daniel Rabinovich ([[chief operating officer|COO]])|Osvaldo Giménez (vice president, payments)}}",,[[Online marketplace]] and [[e-commerce payment system]],{{increase}} {{US$|20.78 billion|link|=|yes}} (2024),,{{increase}} {{US$|2.63 billion}} (2024),,{{increase}} {{US$|1.91 billion}} (2024),,{{nowrap|increase| |US$|25.20 billion| (2024)}} {{increase}} {{US$|25.20 billion}} (2024),,{{increase}} {{US$|4.35 billion}} (2024),,,{{Start date and age|1999|8|2}},,,,"84,207 (2024)",{{URL|https://mercadolibre.com/}} (in Spanish) {{URL|https://mercadolivre.com/}} (in Portuguese),,Mercado Libre,,,,[[Marcos Galperin]],"{{plainlist|
* [[Mercado Pago]]
* Mercado Crédito
* Mercado Ads
* Mercado Envíos
* Mercado Shops
* Mercado Play
* Mercado Coin}}",150,250,,,,,,,,,,,,,,,,,,[[Montevideo]],[[Uruguay]],,,,,,,,,{{native name|es|Mercado Libre|italics|=|off}} <br /> {{native name|pt|Mercado Livre|italics|=|off}},,
"Meta Platforms, Inc.",[[File:Meta Platforms Inc. logo.svg|frameless|upright=1.15]],Meta HQ 2023.png,1.15,"Headquarters in [[Menlo Park, California]]",Meta,"{{Indented plainlist|
* TheFacebook, Inc. (2004|nbndash|2005)
* Facebook, Inc. (2005–2021)}} {{nbndash}} 2005)
* Facebook, Inc. (2005–2021)",[[Public company|Public]],{{ubl|NASDAQ|META| (Class A)|[[Nasdaq-100]] component|[[S&P 100]] component|[[S&P 500]] component}} {{NASDAQ|META}} (Class A),{{ubl|[[Social media]]|[[Advertising industry|Advertising]]}},Worldwide,"{{Indented plainlist|
* Mark Zuckerberg ([[chairman]] and [[Chief executive officer|CEO]])
* [[Javier Oliván]] ([[Chief operating officer|COO]])
* [[Andrew Bosworth]] ([[Chief technology officer|CTO]])
* [[Chris Cox (manager)|Chris Cox]] ([[Chief product officer|CPO]])}}",{{hlist|[[Facebook]]|[[Instagram]]|[[Facebook Messenger|Messenger]]|[[Threads (social network)|Threads]]|[[WhatsApp]]|[[Workplace (software)|Workplace]]}},,{{increase}} {{US$|164.5 billion|link|=|yes}},2024,{{increase}} {{US$|69.4 billion}},2024,{{increase}} {{US$|62.4 billion}},2024,{{increase}} {{US$|276.1 billion}},2024,{{increase}} {{US$|182.6 billion}},2024,"{{plainlist|
* [[Mark Zuckerberg]]
* [[Eduardo Saverin]]
* [[Andrew McCollum]]
* [[Dustin Moskovitz]]
* [[Chris Hughes]]}}","{{Start date and age|2004|02|04}} in [[Cambridge, Massachusetts]], U.S.",,"[[Menlo Park, California]]",U.S.,"78,450",{{URL|https://www.meta.com/|meta.com}},,Meta Platforms,,,,,,,,,,Mark Zuckerberg (13.68% equity; 61.2% voting),,,Sept. 2025,,,,,,,{{infobox network service provider|child|=|yes|asn|=|32934}},,,,,,,{{hlist|[[Reality Labs]]|[[Mapillary]]|[[Meta Superintelligence Labs|Superintelligence Labs]]}},,,,,,,,,,
Microchip Technology Incorporated,Microchip logo.svg,MicrochipGresham.jpg,1.15,"Fab 4 in [[Gresham, Oregon]], Microchip's largest wafer fab.",,,[[Public company|Public]],{{ubl|NASDAQ|MCHP|[[Nasdaq-100]] component|[[S&P 500]] component}} {{NASDAQ|MCHP}},[[Semiconductor]]s,,"{{ubl|[[Steve Sanghi]] ([[President (corporate title)|president]], [[Chief executive officer|CEO]] & [[chairman]])|J. Eric Bjornholt (CFO)}}",{{ubl|[[Microcontroller]]s|Serial [[EEPROM]]s|Serial [[Static random-access memory|SRAM]]s|Analog ICs}},,{{decrease}} {{US$|4.40&nbsp;billion|link|=|yes}} (2025),,{{decrease}} {{US$|296&nbsp;million}} (2025),,{{decrease}} {{US$|-2.7&nbsp;million}} (2025),,{{decrease}} {{US$|15.4&nbsp;billion}} (2025),,{{increase}} {{US$|7.08&nbsp;billion}} (2025),,,{{Start date and age|1989}},"[[Chandler, Arizona]], U.S.",,,"19,400 (2025)",{{URL|https://www.microchip.com/|microchip.com}},Financials {{as of|2025|03|31|lc|=|y|df|=|US}} .,Microchip Technology,,,,,,,,,,,,,,,,1.15,,,,,,,,,,,,,,,,,,,,,
"Micron Technology, Inc.",Micron Technology logo 2024.svg,,,,,,[[Public company|Public]],{{ubl|class|=|nowrap|NASDAQ|MU|[[Nasdaq-100]] component|[[S&P 500]] component}} {{NASDAQ|MU}},[[Semiconductor]]s,Worldwide,"{{ubl|Robert E. Switz ([[Chairman#Public corporations|chairman]])|[[Sanjay Mehrotra]] ([[President (corporate title)|president]] & [[Chief executive officer|CEO]])|ref| name=""ieee"" |April Arnzen ([[Chief human resources officer|CPO]])}}",{{ubl|[[Dynamic random-access memory|DRAM]]|[[Flash memory]]|[[Solid-state drive|SSDs]]}},,{{nowrap|increase| |US$|37.4&nbsp;billion|link|=|yes| (2025)}} {{increase}} {{US$|37.4&nbsp;billion|link|=|yes}} (2025),,{{nowrap|increase| US$9.77&nbsp;billion (2025)}} {{increase}} US$9.77&nbsp;billion (2025),,{{nowrap|increase| US$8.54&nbsp;billion (2025)}} {{increase}} US$8.54&nbsp;billion (2025),,{{nowrap|increase| US$82.8&nbsp;billion (2025)}} {{increase}} US$82.8&nbsp;billion (2025),,{{nowrap|increase| US$54.2&nbsp;billion (2025)}} {{increase}} US$54.2&nbsp;billion (2025),,{{ubl|Ward Parkinson|Joe Parkinson|Dennis Wilson|Doug Pitman}},,,,,"53,000 (2025)",,Financials {{as of|2025|08|29|lc|=|y|df|=|US}} .,Micron Technology,,,,,{{ubl|Ballistix Gaming|Crucial|SpecTek}},,,"[[Boise, Idaho]], U.S.",,,{{Start date and age|1978|10|5|br|=|yes}},,,,,,Logo used since 2024,,,,,{{URL|https://www.micron.com/|micron.com}},,,,,,,,,,,,,,skin-invert-image,
Microsoft Corporation,[[File:Microsoft logo and wordmark.svg|upright=1.15|frameless]],Aerial Microsoft West Campus August 2009.jpg,1.15,Aerial view of the [[Microsoft campus]] in Redmond,,,[[Public company|Public]],"{{Unbulleted list
| |NASDAQ|MSFT|
| [[Nasdaq-100]] component
| [[Dow Jones Industrial Average|DJIA]] component
| [[S&P 100]] component
| [[S&P 500]] component}} {{NASDAQ|MSFT}}",[[Information technology]],Worldwide,{{ubl|[[Satya Nadella]] ([[chairman]] & [[Chief executive officer|CEO]])|[[Brad Smith (American lawyer)|Brad Smith]] ([[Vice-Chairman|vice chairman]] & [[President (corporate title)|president]])|Bill Gates|<!-- Please do not link; this has been already linked. See [[WP:OVERLINK]] -->| ([[adviser|technical adviser]])}} ([[adviser|technical adviser]]),"{{Unbulleted list
| [[Software development]]
| [[Computer hardware]]
| [[Consumer electronics]]
| [[Social networking service]]
| [[Cloud computing]]
| [[Video game industry|Video games]]
| [[Internet]]
| [[Corporate venture capital]]}}","{{Flatlist|
* [[Microsoft Edge|Edge]]
* [[Microsoft Azure|Azure]]
* [[Microsoft Bing|Bing]]
* [[LinkedIn]]
* [[Viva Engage]]
* [[Microsoft 365]]
* [[OneDrive]]
* [[Dynamics 365]]
* [[Microsoft Outlook|Outlook]]
* [[GitHub]]
* [[Microsoft Store (digital)|Microsoft Store]]
* [[Windows Update]]
* [[Xbox Game Pass|Game Pass]]
* [[Xbox network]]}}",{{Increase}} {{US$|281.7}} {{nbsp}} billion,2025,{{Increase}} {{US$|128.5}} {{nbsp}} billion,2025,{{Increase}} {{US$|101.8}} {{nbsp}} billion,2025,{{Increase}} {{US$|619.0}} {{nbsp}} billion,2025,{{Increase}} {{US$|343.5}} {{nbsp}} billion,2025,"{{Unbulleted list
| [[Bill Gates]]
| [[Paul Allen]]}}","{{Start date and age|1975|04|04}} in {{Nowrap|[[Albuquerque, New Mexico]], U.S.}}",[[Microsoft Campus]],"{{nowrap|[[Redmond, Washington]]}}",U.S.,"228,000",{{URL|https://www.microsoft.com/|microsoft.com}},Financials {{as of|2025|06|30|lc|=|y|df|=|US}} .,Microsoft,"A square divided into four sub-squares, colored red-orange, green, yellow and blue (clockwise), with the company name appearing to its right",,,,"{{Flatlist|
* [[Microsoft Windows|Windows]]
* [[Microsoft 365]]
* [[Microsoft Teams|Teams]]
* [[Visual Studio]]
* [[Xbox]]
* [[Microsoft Dynamics 365|Dynamics]]
* [[Microsoft Surface|Surface]]}}",,,,"{{Plainlist|
* [[GitHub]]
* [[LinkedIn]]}}",,,[[Traf-O-Data]],2025,,{{ISIN|sl|=|n|pl|=|y|US5949181045}},,Logo used since 2012,,,{{infobox network service provider|child|=|yes|asn|=|8075}},,,,,,,"{{Plainlist|
* [[Microsoft Gaming]]
* [[Microsoft 365]]
* [[Microsoft Research]]
* [[Microsoft AI]]
* Windows and Devices Group
* Microsoft Cloud 
* Microsoft Security
* Microsoft Industry 
* Microsoft Business Applications
* Microsoft Developer}}",,,,,,,,,,
Strategy Inc.,Strategy logo (2025).svg,,,,,MicroStrategy Incorporated (1989-2025),[[Public company|Public]],"{{ubl|class|=|nowrap|NASDAQ|MSTR| (Class A)|
|NASDAQ|STRK| (8.00% Series A Perpetual)|
|NASDAQ|STRF| (10.00% Series A Perpetual)|
|NASDAQ|STRD| (10.00% Series A Perpetual)|
|NASDAQ|STRC| (Variable Rate Series A Perpetual)|
|[[Nasdaq-100]] component}} {{NASDAQ|MSTR}} (Class A) {{NASDAQ|STRK}} (8.00% Series A Perpetual) {{NASDAQ|STRF}} (10.00% Series A Perpetual) {{NASDAQ|STRD}} (10.00% Series A Perpetual) {{NASDAQ|STRC}} (Variable Rate Series A Perpetual)","{{ubl|[[Bitcoin]] [[treasury]]|ref| name=""strategy-rebrand""|[[Business intelligence]]|Mobile software}}",,{{ubl|Michael J. Saylor ([[executive chairman]])| Phong Le ([[President (corporate title)|president]] & [[Chief executive officer|CEO]])}},,,{{decrease}} {{US$|463.5|link|=|yes}} {{nbsp}} million,2024,,,{{decrease}} US$−1.167 {{nbsp}} billion,2024,"{{increase}} US$54.7 {{nbsp}} billion (2024)<br />
(92.5%: 447,470 {{nbsp}} [[Bitcoin]] = US$52.8 {{nbsp}} billion ([[Book value]]))",,{{increase}} US$18.23 {{nbsp}} billion,2024,{{ubl|[[Michael J. Saylor]]| [[Sanju Bansal]]| Thomas Spahr}},{{Start date and age|1989}},"[[Tysons Corner, Virginia]], U.S.",,,"1,934",{{ubl|URL|strategy.com|URL|strategysoftware.com}} {{URL|strategy.com}} {{URL|strategysoftware.com}},,MicroStrategy,,,Strategy,,,250px,,,,,,,2023,,,,Logo used since 2025,,,{{Infobox network service provider|child|=|yes}},,,,,,,,,,,,,,,,,
"Mondelēz International, Inc.",,,,"Headquarters in Chicago, Illinois",,,[[Public company|Public]],{{ubl|NASDAQ|MDLZ| (Class A)|[[Nasdaq-100]] component|[[S&P 100]] component|[[S&P 500]] component}} {{NASDAQ|MDLZ}} (Class A),{{ubl|[[Food industry|Food]]|[[Drink industry|Beverage]]}},Worldwide,[[Dirk Van de Put]] ([[chairman]] {{wbr}} &nbsp;and [[Chief executive officer|CEO]]),[[Confectionery]],,{{increase}} {{US$|36.4 billion|link|=|yes}} (2024),,{{increase}} {{US$|6.35 billion}} (2024),,{{decrease}} {{US$|4.61 billion}} (2024),,{{decrease}} {{US$|68.5 billion}} (2024),,{{decrease}} {{US$|26.9 billion}} (2024),,{{ubl|[[Edward E. Rieck]]|Thomas H. McInnerney}},,"[[Chicago, Illinois]], U.S.",,,"90,000 (2024)",{{URL|mondelezinternational.com}},,Mondelez International,,,,,[[List of Mondelez International brands]],,,,"{{Plainlist|
* [[Cadbury]]
* [[Clif Bar & Company]]
* [[Nabisco]]}}",,{{start date and age|1923|12|10}} (National Dairy Foods Co.)<br> {{start date and age|2012|10|1}} (Mondelez),[[Kraft Foods Inc.]],,,,,,,,,,,,,,,Mondelez Canada,,,,,,,,,,
Monster Beverage Corporation,Monster Beverage logo.png,Monster Beverage Headquarters.jpg,,Headquarters in Corona,,{{nowrap|Hansen Natural Corporation}} (1935 - 2012),[[Public company|Public]],{{ubl|NASDAQ|MNST|[[Nasdaq-100]] component|[[S&P 500]] component}} {{NASDAQ|MNST}},,,{{unbulleted list|[[Rodney Sacks]] |nowrap|([[chairman]] and [[Chief executive officer|co-CEO]])| |[[Hilton Schlosberg]] |nowrap|(vice-chairman and co-CEO)}} {{nowrap|([[chairman]] and [[Chief executive officer|co-CEO]])}} {{nowrap|(vice-chairman and co-CEO)}},[[Energy drink]]s,,{{profit}} {{US$|7.49 billion|link|=|yes}} (2024),,{{loss}} US$1.93 billion (2024),,{{loss}} US$1.51 billion (2024),,{{down}} US$7.72 billion (2024),,{{down}} US$5.96 billion (2024),,,,,,,"6,558",{{URL|monsterbevcorp.com}},,Monster Beverage,,,,Hubert Hansen,,,,,,,"{{Start date and age|1935}} , in [[Southern California]] (as Hansen's)",,2024,,,,,,,,,,,,"[[Corona, California]]",U.S.,,,,,,,,,,,
