name,logo,logo_size,image,image_size,image_caption,former_name,type,traded_as,ISIN,industry,foundation,founders,location_city,location_country,area_served,key_people,revenue,operating_income,net_income,assets,equity,num_employees,website,_company_name,founder,products,num_employees_year,divisions,founded,hq_location_city,hq_location_country,locations,hq_location,location,logo_caption,alt,subsid,predecessor,num_locations,image_upright,trading_name,services,revenue_year,income_year,net_income_year,assets_year,equity_year,footnotes,logo_alt,image_alt,trade_name,brands,native_name_lang,predecessors,owner,module,homepage,parent,aum,former_names,logo_upright,production,num_locations_year,owners,areas_served,members,members_year,ratio,airline,caption,IATA,ICAO,callsign,aoc,hubs,focus_cities,frequent_flyer,alliance,fleet_size,destinations,commenced,subsidiaries,headquarters,genre,suppressfields,logo_class,profit,company_type,CEO,chairman,rating,defunct,fate,successor,production_year,screenshot,collapsible,collapsetext,language,language_count,country_of_origin,url,commercial,registration,num_users,launch_date,current_status,railroad_name,system_map,map_caption,marks,locale,start_year,end_year,gauge,length,hq_city,bases,notes
"Salesforce, Inc.",Salesforce.com logo.svg,,Salesforce Tower from Salesforce Park.jpg,,"[[Salesforce Tower]] in San Francisco, the headquarters of Salesforce","Salesforce.com, Inc. (1999–2022)",[[Public company|Public]],{{ubl|NYSE|CRM|[[DJIA]] component|[[S&P 100]] component|[[S&P 500]] component}} {{NYSE|CRM}},,{{unbulleted list|[[Cloud computing]]|[[Enterprise software]]|[[Consulting]]}},,{{ubl|[[Marc Benioff]]|Parker Harris|Dave Moellenhoff|Frank Dominguez}},,,,{{ubl|Marc Benioff<br />([[Chairman]] & CEO)}},{{Increase}} {{US$|37.89&nbsp;billion|link|=|yes}} (2025),{{Increase}} {{US$|7.205&nbsp;billion}} (2025),{{Increase}} {{US$|6.197&nbsp;billion}} (2025),{{nowrap|Increase| |US$|102.9&nbsp;billion| (2025)}} {{Increase}} {{US$|102.9&nbsp;billion}} (2025),{{Increase}} {{US$|61.17&nbsp;billion}} (2025),"76,453 (2025)",{{URL|https://www.salesforce.com/|salesforce.com}},Salesforce,,,,,{{Start date and age|1999|3|8}},,,,"{{nowrap|[[Salesforce Tower]]<br />[[San Francisco, California]], U.S.}}",,,,{{ubl|[[Quip (software)|Quip]]|[[Heroku]]|[[MuleSoft]]|[[Tableau Software]]|Acumen Solutions|[[Slack Technologies]]}},,,,,[[Cloud computing]],,,,,,Financials {{as of|2025|1|31|lc|=|y|df|=|US}} .,,,,,,,,{{infobox network service provider|child|=|yes|asn|=|14340}},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SBA Communications Corporation,SBA Communications Logo.svg,,,,,,[[Public company|Public]],{{Unbulleted list|NASDAQ|SBAC| (Class A)|[[S&P 500]] component}} {{NASDAQ|SBAC}} (Class A),,[[Real Estate Investment Trust]],,,,,,Jeffrey A. Stoops,,,,,,,{{URL|http://sbasite.com}},SBA Communications,,,,,,"[[Boca Raton, Florida]]",United States,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Schlumberger NV,SLB Logo 2022.svg,,,,,,[[Public company|Public]],{{ubl|NYSE|SLB|EuronextParis|SLB|AN8068571086|LSE|0SCL|FWB|SCL|[[S&P 500]] component}} {{NYSE|SLB}} {{EuronextParis|SLB|AN8068571086}} {{LSE|0SCL}} {{FWB|SCL}},{{ISIN|sl|=|n|pl|=|y|AN8068571086}},[[Petroleum reservoir#Oil field|Oilfield]] services and equipment suppliers,"{{start date and age|1926|df|=|yes}} (as Electric Prospecting Company)<br />[[Paris]], France",[[Schlumberger brothers|Conrad Schlumberger<br />Marcel Schlumberger]],,,Worldwide,{{Unbulleted list |[[Olivier Le Peuch]] ([[Chief executive officer|CEO]])|James Hackett ([[chairman]])}},{{nowrap|increase| |US$|36.29 billion|link|=|yes| (2024)}} {{increase}} {{US$|36.29 billion|link|=|yes}} (2024),{{nowrap|increase| US$5.804 billion (2024)}} {{increase}} US$5.804 billion (2024),{{nowrap|increase| US$4.461 billion (2024)}} {{increase}} US$4.461 billion (2024),{{nowrap|increase| US$48.94 billion (2024)}} {{increase}} US$48.94 billion (2024),{{nowrap|increase| US$21.13 billion (2024)}} {{increase}} US$21.13 billion (2024),"111,000",{{URL|slb.com/}},Schlumberger,,,2024,,,,,,"[[Paris, France]]; [[Houston, Texas]]; United States; [[London, UK]]; [[The Hague]], Netherlands.",,Logo used since October 2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Seagate Technology Holdings plc,Seagate logo.svg,,Seagate Headquarters Fremont.jpg,250px,"Operational headquarters in Fremont, California",,[[Public limited company|Public]],{{ubl|NASDAQ|STX|[[S&P 500]] component}} {{NASDAQ|STX}},,[[Computer data storage|Computer storage]],{{start date and age|1979|11|1}} (as Shugart Technology),{{ubl|[[Alan Shugart]]|Tom Mitchell|Doug Mahon|[[Finis Conner]]|[[Syed Iftikar]]}},,,Worldwide,[[Michael R. Cannon]] ([[chairman]])<br />Dave Mosley ([[Chief executive officer|CEO]]),{{increase}} {{US$|9.10&nbsp;billion|link|=|yes}} (2025),{{increase}} {{US$|1.89&nbsp;billion}} (2025),{{increase}} {{US$|1.47&nbsp;billion}} (2025),{{increase}} {{US$|8.02&nbsp;billion}} (2025),{{increasenegative}} − {{US$|453&nbsp;million}} (2025),"30,000 (2025)",,Seagate Technology,,{{hlist|[[Hard disk drive]]s| [[hybrid drive]]s| [[solid-state drive]]s}},,,,,,,"[[Fremont, California]], United States (operational)<br />[[Dublin]], Ireland (legal domicile)",,,,[[LaCie]],Shugart Technology,,,,,,,,,,Financials {{as of|2025|06|27|lc|=|y|df|=|US}} .,,,,,,,,,{{URL|seagate.com}},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sempra,Sempra h tm rgb c.jpg,,Sempra HQ 0003v2 newlogo.jpg,,Sempra Building,Sempra Energy,[[Public company|Public]],{{ubl|class|=|nowrap|NYSE|SRE|[[DJUA]] component|[[S&P 500]] component|BMV|SRE|35339}} {{NYSE|SRE}} {{BMV|SRE|35339}},,[[Utilities]],,,,,,Jeffrey W. Martin ([[chairman]] and [[CEO]]),{{decrease}} {{US$|13.2&nbsp;billion|link|=|yes}} (2024),,{{decrease}} {{US$|3.50&nbsp;billion}} (2024),{{increase}} {{US$|96.2&nbsp;billion}} (2024),{{increase}} {{US$|37.8&nbsp;billion}} (2024),"16,773 (2024)",{{URL|sempra.com}},Sempra,,,,,{{Start date and age|1998}},,,,"[[San Diego]], California, U.S.",,,,{{unbulleted list|[[SDG&E]]|[[SoCalGas]]|[[Oncor]]|Sempra Infrastructure}},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ServiceNow, Inc.",ServiceNow logo.svg,,ServiceNowGlobalHQ.jpg,,"Headquarters in Santa Clara, California",Glidesoft (2003–2006),[[Public company|Public]],{{ubl|NYSE|NOW|[[S&P 100]] component|[[S&P 500]] component}} {{NYSE|NOW}},,[[Enterprise software]],,{{unbulleted list|[[Fred Luddy]]|David Loo|Don Goodliffe|Bow Ruggeri|Patrick Casey}},,,Worldwide,{{unbulleted list|[[Bill McDermott]] (CEO) | Fred Luddy (chairman)}},{{increase}} {{USD|10.98 billion|link|=|yes}} (2024),{{increase}} {{USD|1.364 billion}} (2024),{{decrease}} {{USD|1.425 billion}} (2024),{{increase}} {{USD|20.28 billion}} (2024),{{increase}} {{USD|9.609 billion}} (2024),"26,293",{{URL|https://www.servicenow.com/|servicenow.com}},ServiceNow,,,2024,,{{Start date and age|2003}},,,,"{{nowrap|[[Santa Clara, California]], U.S.}}",,,,,,,1.1,,{{unbulleted list|[[Cloud computing]]|[[IT service management]]}},,,,,,,,,,,,,,,,,,,1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Sherwin-Williams Company,Sherwin Williams.svg,,Sherwin-Williams HQ August 2025.jpg,,[[Sherwin-Williams Headquarters]] in Cleveland,,[[Public company|Public]],{{ubl|NYSE|SHW|[[DJIA]] component|[[S&P 500]] component}} {{NYSE|SHW}},,[[Chemical industry|Chemicals]],,{{unbulleted list|[[Henry Sherwin]]|[[Edward Williams (businessman)|Edward Williams]]}},,,Worldwide,"{{Plainlist|
*John G. Morikis ([[Executive Chairman]])
*Heidi G. Petz ([[President (corporate title)|president]] and [[Chief Executive Officer|CEO]]) 
*Allen J. Mistysyn ([[Vice president#In business|SVP]] and [[Chief financial officer|CFO]])}}",{{increase}} {{US$|23.1|nbsp|billion|link|=|yes}} {{nbsp}} billion,{{increase}} US$3.81 {{nbsp}} billion,{{increase}} US$2.68 {{nbsp}} billion,{{increase}} US$23.6 {{nbsp}} billion,{{increase}} US$4.05 {{nbsp}} billion,"63,890",{{URL|sherwin-williams.com}},Sherwin-Williams,,"{{plainlist| 
*[[Chemical substance|Chemicals]]
*[[Paints|Decorative paints]]
*[[automotive restoration|Industrial finishing products]] 
*[[Coatings]]
*[[Wood stain|Stains]]
*[[Caulk]]s
*[[Sealants]]}}",2024,{{Ubl|Paint Stores Group|Consumer Brands Group| Performance Coatings Group}},{{Start date and age|1866}},"[[Cleveland, Ohio]]",United States,,[[Sherwin-Williams Headquarters|1426 West 3rd Street]],,,,[[Valspar]],,"4,773 stores",,,,2024,2024,2024,2024,2024,,,,,"{{collapsible list|
* Cabot
* Duckback
* Dupli-Color
* [[Dutch Boy Paint|Dutch Boy]]
* Geocel
* Huarun
* Krylon
* [[Minwax]]
* [[Pratt & Lambert]]
* Purdy
* Ronseal
* Solver
* Thompson's WaterSeal
* Valspar
* White Lightning
* Sysco
* Cisco
* North American Grocery Co}}",,,,,,,,,0.5,,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Simon Property Group, Inc.",Simon Property Group Logo 2014.svg {{!}} class=skin-invert-image,,Simon HQs.jpg,,Headquarters in [[Indianapolis]],"Simon DeBartolo Group, Simon & Associates",[[Public company|Public]],{{Unbulleted list|NYSE|SPG|[[S&P 100]] component|[[S&P 500]] component}} {{NYSE|SPG}},,[[Real estate investment trust]],,{{Unbulleted list|[[Melvin Simon]]|[[Herbert Simon (real estate)|Herbert Simon]]}},,,,"{{plainlist|
* [[David Simon (CEO)|David E. Simon]]<br/>([[chairman]] & [[chief executive officer|CEO]])
* Herbert Simon<br/>([[Emeritus|chairman emeritus]])}}",{{increase}} {{US$|5.96&nbsp;billion|link|=|yes}} (2024),{{increase}} US$3.09&nbsp;billion (2024),{{increase}} US$2.37&nbsp;billion (2024),{{decrease}} US$32.4&nbsp;billion (2024),{{decrease}} US$2.94&nbsp;billion (2024),"{{circa|3,000}} (2024)",{{url|simon.com}},Simon Property Group,,"{{flatlist|
* [[Shopping mall]]s
* [[Lifestyle center]]s}}",,,{{Start date and age|1993}},"[[Indianapolis]], Indiana",U.S.,,,,,,{{ubl|Simon Malls|Premium Outlets|The Mills|Kravco|[[Klépierre]]|[[Taubman Centers]]|[[JCPenney]]|[[Jamestown L.P.]]}},,,,,,,,,,,,,,,"[[Forever 21]], XXI Forever, [[JCPenney]], [[Brooks Brothers]], [[Eddie Bauer]], [[Lucky Brand Jeans]]",,,,,,,,,,,,,Worldwide,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Skyworks Solutions, Inc.",Skyworks logo.svg,,,,,,[[Public company|Public]],{{unbulleted list|NASDAQ|SWKS|[[S&P 500]] component}} {{NASDAQ|SWKS}},,[[Semiconductor]]s,{{start date and age|2002}},,,,,{{Unbulleted list|Philip Brace ([[President (corporate title)|President]] & [[Chief executive officer|CEO]]) | Philip Carter ([[Chief financial officer|CFO]])}},{{decrease}} {{US$|4.09&nbsp;billion}} (2025),{{decrease}} {{US$|500&nbsp;million}} (2025),{{decrease}} {{US$|477&nbsp;million}} (2025),{{decrease}} {{US$|7.92&nbsp;billion}} (2025),{{decrease}} {{US$|5.76&nbsp;billion}} (2025),"10,000 (2025)",,Skyworks Solutions,,Wireless communication technologies,,,,,,,,"[[Irvine, California]], United States",,,,,,,,,,,,,,,,,,,,,,,{{URL|https://www.skyworksinc.com/|skyworksinc.com}},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Smurfit Westrock plc,Smurfit WestRock logo.png,250px,,,,,[[Public limited company|Public]],,{{ISIN|sl|=|n|pl|=|y|IE00028FXN24}},Packaging,,,,,,[[Anthony Smurfit]] (President and [[CEO]]),{{nowrap|increase| |US$|21.1|link|=|yes|&nbsp;billion (2024)|ref| name=results|{{cite web|url=https://www.sec.gov/ix?doc=/Archives/edgar/data/2005951/000200595125000005/smur-20241231.htm|title=2024 Annual Report (Form 10-K)|publisher=U.S. Securities and Exchange Commission|access-date=8 March 2025|date=7 March 2025}}|</ref>}} {{increase}} {{US$|21.1|link|=|yes}} &nbsp;billion (2024),{{decrease}} US$1.01&nbsp;billion (2024),{{decrease}} US$319&nbsp;million (2024),{{increase}} US$43.8&nbsp;billion (2024),{{increase}} US$17.4&nbsp;billion (2024),"100,000 (2024)",{{nowrap|URL|https://www.smurfitwestrock.com}} {{URL|https://www.smurfitwestrock.com}},Smurfit Westrock,,Paper-based packing containers,,,{{Start date and age|1934}},,,,"[[Dublin]], Ireland",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Snap-on Incorporated,Snap-on logo.svg,,,,,,[[Public company|Public]],{{ubl|NYSE|SNA|[[S&P 500]] component}} {{NYSE|SNA}},,[[Manufacturing]],"{{Start date and age|April 21, 1920}} in [[Milwaukee, Wisconsin]], U.S.",{{ubl|Joseph Johnson|Bill Seidemann}},"[[Kenosha, Wisconsin]], U.S.",,,{{ubl| Nicholas T. Pinchuk (Chairman & CEO) |Aldo J. Pagliari (CFO)}},{{decrease}} {{US$|4.71 billion|link|=|yes}} (2024),{{increase}} US$1.35 billion (2024),{{increase}} US$1.04 billion (2024),{{increase}} US$7.90 billion (2024),{{increase}} US$5.39 billion (2024),"{{circa|13,000}}",,Snap-on,,Professional automotive and industrial tools and equipment,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{{URL|https://snapon.com/}},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Solstice Advanced Materials,,,,,,,[[Public company|Public]],{{ndaq|SOLS}} <br>[[Nasdaq-100]] component<br>[[S&P 500]] component,,[[Chemical industry|Chemicals]],,,,,,,,,,,,,,Solstice Advanced Materials,,,,,{{start date and age|2025|10|30}},,,,"[[Morris Plains, New Jersey]]",,,,,[[Honeywell]]'s specialty materials operations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Solventum Corporation,,,,,,,[[Public company|Public]],{{ubl|NYSE|SOLV|[[S&P 500]] component}} {{NYSE|SOLV}},,Health care,,,"[[Maplewood, Minnesota]]",U.S.,,{{unbulleted list | Bryan Hanson (CEO)}},{{increase}} {{US$|8.25&nbsp;billion|link|=|yes}} (2024),{{decrease}} {{US$|1.04&nbsp;billion}} (2024),{{decrease}} {{US$|479&nbsp;million}} (2024),{{increase}} {{US$|14.5&nbsp;billion}} (2024),{{decrease}} {{US$|2.96&nbsp;billion}} (2024),"22,000 (2024)",{{URL|Solventum.com}},Solventum,,,,,{{unbulleted list | |Start date and age|2023|1|24| (incorporation) | |Start date and age|2024|4|1| (spinoff)}} {{Start date and age|2023|1|24}} (incorporation) {{Start date and age|2024|4|1}} (spinoff),,,,,,,,,[[3M]] (health care division),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Southern Company,Southern Company logo new.svg,245px,,,,,[[Public company|Public]],{{ubl|NYSE|SO|[[DJUA]] component|[[S&P 100]] component|[[S&P 500]] component}} {{NYSE|SO}},,"[[Energy industry|Energy]], [[Telecommunications industry|Telecommunications]]",,,,,"6 U.S. states: *[[Alabama]]
*[[Georgia (U.S. state)|Georgia]]
*[[Illinois]]
*[[Mississippi]]
*[[Tennessee]]
*[[Virginia]]","{{ubl|
                     |nowrap|Chris Womack|
                     |nowrap|([[Chairman#Public corporations|chairman]], [[President (corporate title)|president]], & [[Chief executive officer|CEO]])|
                     |nowrap|David Poroch|
                     |nowrap|([[Executive vice president|EVP]] & [[Chief financial officer|CFO]])|ref|{{cite news|work=Craft|title=Southern Company employees list|url=https://s2.q4cdn.com/471677839/files/doc_downloads/Governance/ManagementBio/Drew_Evans_SC_bio.pdf|date=4 September 2019}}|</ref>}} {{nowrap|Chris Womack}} {{nowrap|([[Chairman#Public corporations|chairman]], [[President (corporate title)|president]], & [[Chief executive officer|CEO]])}} {{nowrap|David Poroch}} {{nowrap|([[Executive vice president|EVP]] & [[Chief financial officer|CFO]])|ref|{{cite news|work=Craft|title=Southern Company employees list|url=https://s2.q4cdn.com/471677839/files/doc_downloads/Governance/ManagementBio/Drew_Evans_SC_bio.pdf|date=4 September 2019}}|</ref>}}",{{increase}} {{USD|26.72 billion|link|=|yes}},{{increase}} {{USD|7.07 billion}},{{increase}} {{USD|4.40 billion}},{{increase}} {{USD|145.18 billion}},{{increase}} {{USD|36.67 billion}},"28,600",{{URL|southerncompany.com}},Southern Company,,,2024,,{{Start date and age|1945|11}},"[[Atlanta, Georgia]]",U.S.,,,,,,[[Southern Company Gas]]<br />[[Alabama Power]] <br />[[Georgia Power]]<br />[[Mississippi Power]]<br />[[Southern Company Services]]<br />[[Southern Linc]]<br />[[Southern Nuclear]]<br />Southern Company Generation<br />Southern Power<br />[[Southern Telecom (Southern Company)|Southern Telecom]]<br />PowerSecure,,,,,,2024,2024,2024,2024,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Southwest Airlines logo 2014.svg,,Southwest Boeing 737-800 N8644C BWI MD2 (cropped).jpg,,,,,{{ubl|NYSE|LUV|[[DJTA]] component|[[S&P 500]] component}} {{NYSE|LUV}},,,,"{{ubl|class|=|nowrap
  | [[Herb Kelleher]]
  | [[Rollin King]]}}",,,,"{{unbulleted indent list|
  | [[Bob Jordan (businessman)|Bob Jordan]] ([[President (corporate title)|president]] and [[Chief executive officer|CEO]])
  | Doug Brooks ([[chair (officer)|chairman]] of the Board)}}",{{increase}} {{US$|27.5 billion|link|=|yes}} (2024),{{increase}} {{US$|321 million}} (2024),{{nochange}} {{US$|465 million}} (2024),{{decrease}} {{US$|33.7 billion}} (2024),{{decrease}} {{US$|10.3 billion}} (2024),"72,450 (2024)",{{URL|southwest.com}},Southwest Airlines,,,,,{{start date and age|1967|03|9}} (as ''Air Southwest''),,,,,,,"Logo (2014–present), consisting of the name ""Southwest"" in blue letters followed by a heart in yellow, red and blue diagonal stripes",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Southwest Airlines Co.,Southwest Airlines [[Boeing 737-800]],WN,SWA,SOUTHWEST,SWAA304A,,,Rapid Rewards,,[[Southwest Airlines fleet|810]],[[List of Southwest Airlines destinations|118]] {{r|financial_results|p|=|3}},{{start date and age|1971|6|18}} (as ''Southwest Airlines''),,"[[Love Field, Dallas, Texas|Love Field]], [[Dallas]], Texas, U.S.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{{ubl|class|=|nowrap
  | [[Hartsfield–Jackson Atlanta International Airport|Atlanta]]
  | [[Baltimore/Washington International Airport|Baltimore]] 
  | [[Midway International Airport|Chicago–Midway]]
  | [[Dallas Love Field|Dallas–Love]]
  | [[Denver International Airport|Denver]]
  | [[William P. Hobby Airport|Houston–Hobby]]
  | [[Harry Reid International Airport|Las Vegas]]
  | [[Los Angeles International Airport|Los Angeles]]   
  | [[Nashville International Airport|Nashville]] 
  | [[Oakland San Francisco Bay Airport|Oakland]]
  | [[Orlando International Airport|Orlando]]
  | [[Phoenix Sky Harbor International Airport|Phoenix–Sky Harbor]]}}",
"Stanley Black & Decker, Inc.",Stanley Black & Decker Logo.svg,250px,,,,,[[Public company|Public]],{{unbulleted list|nyse|SWK|[[S&P 500]] component}} {{nyse|SWK}},,[[Manufacturing]],"{{plainlist|
* |Start date and age|1843|3| (as Stanley's Bolt Manufactory)
* |start date and age|1910|9| (as ""The Black & Decker Manufacturing Company"")}} {{Start date and age|1843|3}} (as Stanley's Bolt Manufactory)
* {{start date and age|1910|9}} (as ""The Black & Decker Manufacturing Company"")",[[Frederick Trent Stanley]] (The Stanley Works) <br> S. Duncan Black<br>Alonzo G. Decker (Black and Decker),,,,{{unbulleted list|[[Andrea J. Ayers]] (Chairman)|Don Allan (President & CEO)}},{{decrease}} {{US$|15.4 billion|link|=|yes}} (2024),{{increase}} US$561 million (2024),{{increase}} US$294 million (2024),{{decrease}} US$21.8 billion (2024),{{decrease}} US$8.72 billion (2024),"48,500 (2024)",,Stanley Black & Decker,,"[[Tools]], [[Outdoor equipment]], [[Industrial solutions]]",,,,,,,"{{nowrap|[[New Britain, Connecticut]], U.S.}}",,Logo used since 2010,,,,,,,,,,,,,,,,,''[[#Business segments and brands|See list]]'',,,,,{{URL|stanleyblackanddecker.com}},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Starbucks Corporation,Starbucks Corporation Logo 2011.svg,150px,Starbuckscenter.jpg,250px,"Headquarters at [[Starbucks Center]] in Seattle, Washington",,[[Public]],"{{Plainlist|
* |NASDAQ|SBUX|
* [[Nasdaq-100]] component
* [[S&P 100]] component
* [[S&P 500]] component}} {{NASDAQ|SBUX}} * [[Nasdaq-100]] component
* [[S&P 100]] component
* [[S&P 500]] component",,[[Restaurant]],,"{{Plainlist|
* [[Jerry Baldwin]]
* [[Zev Siegl]]
* [[Gordon Bowker]]}}",,,87 countries,"{{Plainlist|
* [[Howard Schultz]] (chairman emeritus)
* [[Brian Niccol]] (chairman and CEO)}}",{{increase}} US$37.18&nbsp;billion,{{decrease}} US$2.937&nbsp;billion,{{decrease}} US$1.856&nbsp;billion,{{increase}} US$32.02&nbsp;billion,{{decrease}} US$&minus;8.09&nbsp;billion,"{{circa|381,000}}",{{url|https://www.starbucks.com/|starbucks.com}},Starbucks,,"{{flat list|
* Coffee beverages
* smoothies
* tea
* baked goods
* sandwiches}}",2025,,"{{Start date and age|1971|03|30}} , in [[Pike Place Market]], [[Elliott Bay]], Seattle, Washington, U.S.",[[Seattle]],United States,,[[Starbucks Center]],,Logo since 2011,,"{{flat list|
* Starbucks Coffee Company
* [[Ethos Water]]
* [[Hear Music]]
* [[Pascal Rigo|La Boulange Bakery]]
* [[Teavana]]
* [[Torrefazione Italia]]
* [[Tata Starbucks|Tata Starbucks (India)]]}}",,"40,990",,,,2025,2025,2025,2025,2025,Financials {{as of|2025|09|28|lc|=|y|df|=|US}} .<br />References:,,,,,,,,,,,,,,,2025,,,,,,,,,,,,,,,,,,,,,[[Coffeehouse]],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
State Street Corporation,State-street-logo-final.svg,,"State Street Bank - One Congress, Boston, MA.jpg",220px,"One Congress Street, the headquarters of the company, in [[Boston]]",State Street Boston Financial Corporation (1960–1977)<br/>State Street Boston Corporation (1977–1997),[[Public company|Public]],{{ubl|NYSE|STT|[[S&P 500]] component}} {{NYSE|STT}},,{{ubl|[[Financial services]]|[[Investment management]]}},,,,,,Ronald P. O’Hanley ([[chairman]] & [[CEO]]),{{increase}} {{US$|13.00 billion|link|=|yes}} (2024),,{{increase}} {{US$|2.687 billion}} (2024),{{increase}} {{US$|353.2 billion}} (2024),{{increase}} {{US$|25.33 billion}} (2024),"52,626 (2024)",{{URL|www.statestreet.com}},State Street Corporation,,{{ubl|[[Asset management]] |[[Risk management]] |[[Mutual fund]]s |[[Exchange-traded fund]]s |[[Index fund]]s}},,"{{Ubl
| [[State Street Investment Management|Investment Management]]
| [[State Street Bank and Trust Company|Global Services]]}}",{{Start date and age|1792|6|25}} (Union Bank),,,,,"[[Bulfinch Crossing#One Congress|One Congress Street]]<br />[[Boston]], Massachusetts, U.S.",,,"{{Ubl
| [[State Street Bank and Trust Company]]}}",,,,,,,,,,,,,,,,,,,,,,{{increase}} {{US$|4.715 trillion}} (2024),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Steel Dynamics, Inc.",Steel Dynamics.svg,,,,,,[[Public company|Public]],{{ubl|NASDAQ|STLD|[[S&P 500]] component}} {{NASDAQ|STLD}},,[[Metals]],,,,,,{{nowrap|[[Mark D. Millett]] ([[President (corporate title)|president]] & [[Chief executive officer|CEO]])<br />[[Theresa E. Wagler]] ([[Chief financial officer|CFO]])}},{{increase}} {{US$|22.261 billion|link|=|yes}} (2022),,{{increase}} US$3.863 billion (2022),{{increase}} US$14.159 billion (2022),{{increase}} US$7.914 billion (2022),"{{increase}} 12,060 (2022)",{{URL|https://stld.steeldynamics.com/}},Steel Dynamics,,[[Steel]],,,{{Start date and age|1993}},,,,"[[Fort Wayne, Indiana]], U.S.",,,,,,,,,,,,,,,Financials {{asof|2020|12|31|lc|=|y|df|=|US}},,,,,,,,,,,,,,{{increase}} 12.2 million tons of steel (2022),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STERIS plc,Steris logo.svg,,,,,,[[Public company|Public]],{{Unbulleted list|NYSE|STE|[[S&P 500]] component}} {{NYSE|STE}},{{ISIN|sl|=|n|pl|=|y|IE00BFY8C754}},[[Medical devices]],,,,,,Daniel A. Carestio (President and CEO),{{increase}} {{US$|5.14 billion|link|=|yes}} (2024),{{increase}} {{US$|836 million}} (2024),{{increase}} {{US$|378 million}} (2024),{{increase}} {{US$|11.1 billion}} (2024),{{increase}} {{US$|6.32 billion}} (2024),"18,179",{{url|steris.com}},Steris,,,2024,,{{Start date and age|1985}},,,,,"[[Mentor, Ohio]], U.S.",,,,,,,,,,,,,,Financials {{asof|2024|03|31|lc|=|y}} .,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
