name,logo,type,traded_as,industry,founded,hq_location,hq_location_city,hq_location_country,area_served,key_people,products,revenue,owner,num_employees,subsid,homepage,_company_name,native_name,logo_size,image,image_caption,foundation,founder,location_city,location_country,services,revenue_year,operating_income,income_year,net_income,net_income_year,assets,assets_year,equity,equity_year,owners,footnotes,website,image_size,module,num_employees_year,parent,location,logo_upright,ISIN,aum,ratio,predecessor,logo_caption,former_name,rating,native_name_lang,trading_name,brands,romanized_name,box_width,other_name,color,logo_width,image_width,system,status,locale,start,end,stations,ridership2,open,yearcommenced,operator,character,stock,linelength,gauge,minradius,maxincline,electrification,speed,map,map_state,embedded,divisions,founders,defunct,fate,trade_name,num_locations,num_locations_year,production,pic,piccap,t,l,p,image_alt,caption,linelength_km,tracks,signalling,successor,company_name,company_logo,company_type,airline,fleet_size,destinations,IATA,ICAO,callsign,hubs,secondary_hubs,focus_cities,frequent_flyer,alliance,subsidiaries,headquarters,image_upright,commenced,bases,profit,profit_year
China Telecom Corporation Limited,China Telecom Logo.svg,[[Public company|Public]],{{aligned table|fullwidth|=|y|style|=|text-align: left; font-size: 100%;|SSE|601728|([[A-share (mainland China)|A share]])|SEHK|728|(H share)|[[CSI A100 Index|CSI A100]]}} {{SSE|601728}} {{SEHK|728}},[[Telecommunication]]s,,,"Beijing, China<br>Shanghai",China,"China, Europe and the Americas",{{aligned table|fullwidth|=|y|style|=|text-align: left; font-size: 100%;|Yang&nbsp;Jie|nowrap|(chairman & [[Chief executive officer|CEO]])|ref|{{cite news|url=http://news.cnr.cn/native/gd/20151231/t20151231_520987183.shtml|title=中国电信总裁兼首席运营官杨杰接替常小兵|work=中国经济网|date=31 December 2015|access-date=26 July 2017|publisher=re-published by cnr.cn|language=zh|archive-date=20 September 2017|archive-url=https://web.archive.org/web/20170920190805/http://news.cnr.cn/native/gd/20151231/t20151231_520987183.shtml|url-status=live}}|</ref>|ref|{{cite web|url=http://www.chinatelecom-h.com/en/regulatory/announcements/a170607.pdf|title=RESIGNATION OF DIRECTOR AND CHANGE OF IMPORTANT EXECUTIVE POSITION|date=7 June 2017|access-date=26 July 2017|publisher=China Telecom|archive-date=7 August 2017|archive-url=https://web.archive.org/web/20170807200227/http://www.chinatelecom-h.com/en/regulatory/announcements/a170607.pdf|url-status=live}}|</ref>}} {{nowrap|(chairman & [[Chief executive officer|CEO]])|ref|{{cite news|url=http://news.cnr.cn/native/gd/20151231/t20151231_520987183.shtml|title=中国电信总裁兼首席运营官杨杰接替常小兵|work=中国经济网|date=31 December 2015|access-date=26 July 2017|publisher=re-published by cnr.cn|language=zh|archive-date=20 September 2017|archive-url=https://web.archive.org/web/20170920190805/http://news.cnr.cn/native/gd/20151231/t20151231_520987183.shtml|url-status=live}}|</ref>|ref|{{cite web|url=http://www.chinatelecom-h.com/en/regulatory/announcements/a170607.pdf|title=RESIGNATION OF DIRECTOR AND CHANGE OF IMPORTANT EXECUTIVE POSITION|date=7 June 2017|access-date=26 July 2017|publisher=China Telecom|archive-date=7 August 2017|archive-url=https://web.archive.org/web/20170807200227/http://www.chinatelecom-h.com/en/regulatory/announcements/a170607.pdf|url-status=live}}|</ref>}},,"{{nowrap|increase| |CNY|link|=|yes|352.285&nbsp;[[1,000,000,000|billion]]|ref| name=ChinaTelecom2016AR|rp|129}} {{increase}} {{CNY|link|=|yes|352.285&nbsp;[[1,000,000,000|billion]]}} {{rp|129}}",[[China Telecommunications Corporation]] (70.89%),"287,076 {{rp|85}}",,{{url|https://www.chinatelecom-h.com|ChinaTelecom-H.com}} <br> {{url|https://www.chinatelecomglobal.com|ChinaTelecomGlobal.com}} <br> {{url|http://www.chinatelecom.com.cn|ChinaTelecom.com.cn}},China Telecom Corporation,{{lang|zh-CN|中国电信股份有限公司}},,,,{{start date and age|2002|9|10|df|=|yes}},[[China Telecommunications Corporation]],,,{{ubl|[[Landline|Fixed-line telephony]]|[[mobile phone|mobile telephony]]|[[Internet access]]|[[digital television]]}},2016,{{increase}} {{CNY|0|27.201&nbsp;billion}} {{0}} 27.201&nbsp;billion {{rp|129}},2016,{{decrease}} {{CNY|0|18.004&nbsp;billion}} {{0}} 18.004&nbsp;billion {{rp|129}},2016,{{increase}} {{CNY|652.368&nbsp;billion}} {{rp|127}},2016,{{increase}} {{CNY|315.324&nbsp;billion}} {{rp|128}},2016,,in a [[consolidated financial statement]],,,"{{Infobox NSP
| child |=| yes
| asn |=| 4134
| asn_suffix |=| (ChinaNet)
| asn2 |=| 4809
| asn2_suffix |=| (CN2)
| trafficlevels |=| 1-5&nbsp;Tbps |ref|{{cite web |url=https://www.peeringdb.com/asn/4134 |title=PeeringDB |author=China Telecom |publisher=PeeringDB |access-date=July 27, 2022}}|</ref>|}}",2016,[[China Telecommunications Corporation]],,,{{ISIN|sl|=|n|pl|=|y|CNE1000002V2}},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sungrow Power Supply Co., Ltd.",Sungrow Power Supply.svg,[[Public company|Public]],{{SZSE|300274}} <br>[[CSI A100 Index|CSI A100]],[[Photovoltaics]],,,,,,"{{ubl
|Cao Renxian (Chairman and President)
|}}",,{{Increase}} {{CNY|link|=|yes|72.25 billion}} (2023),,"13,697 (2023)",,{{Official URL}},Sungrow Power Supply,阳光电源股份有限公司,,,,{{start date and age|1997}},,,,,,,,{{Increase}} {{CNY|link|=|yes|9.61 billion}} (2023),,{{Increase}} {{CNY|link|=|yes|51.27 billion}} (2023),,{{Increase}} {{CNY|link|=|yes|26.31 billion}} (2023),,,,,,,,,"[[Hefei]], [[Anhui]], [[China]]",,,,,,,,,,Sungrow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{{ubl
  |Cao Renxian}}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bank of Ningbo,Bankofningbo.png,{{ublist|[[public company|public]]|[[limited liability corporation|limited liability]]}},{{ubl|szse|002142| (ordinary)|szse|140001| (preference)}} {{szse|002142}} (ordinary) {{szse|140001}} (preference),Financial services,,,[[Ningbo]],China,"{{ubl|Zhejiang Province|Jiangsu Province|Shanghai, Beijing & Shenzhen}}",Lu Huayu (Chairman),,"{{increase}} {{CNY|19.516&nbsp;[[1,000,000,000|billion]]}}",{{ubl|[[www.ndig.com.cn|Ningbo Development and Investment Group - Affiliate of Ningbo Government]]&nbsp;(21.38%)|[[OCBC Bank]] (20.00%)|[[Youngor Group]] (11.64%)|[[Huamao Group]] (5.85%)}},,,,Bank of Ningbo,,,Bank of Ningbo Hangzhou brach.JPG,Branch in [[Hangzhou]],"April 10, 1997",,,,,2015,"{{increase}} {{CNY|8,018&nbsp;billion}}",2015,"{{increase}} {{CNY|6,544&nbsp;billion}}",2015,{{increase}} {{CNY|716.465&nbsp;billion}},2015,{{increase}} {{CNY|45.001&nbsp;billion}},2015,,"in a consolidated basis; please see the report for their definition of revenue, operating income in [[Chinese accounting standards]]",,,,,,,,,,{{decrease}} 9.03% (CET1),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Haitong Securities Company Limited <br /> 海通證券股份有限公司,Haitong.png,[[Public company|Public]],[[Shanghai Stock Exchange|SSE]]: 600837<br/> {{SEHK was|6837}},[[Securities]],,,,,[[People's Republic of China]],,,,Mr. Wang Kaiguo,,[[Haitong International]],[http://www.htsec.com/ Haitong Securities Company Limited],Haitong Securities Company,,200px,,,{{start date and age|1988}},,[[Shanghai]],[[People's Republic of China]],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,Merged into [[Guotai Haitong Securities|Guotai Jun'an Securities]],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Qinghai Salt Lake Potash Company Limited <br /> 青海鹽湖鉀肥股份有限公司,saltlakepotash.png,[[public company|public]],{{szse|000792}},[[Chemical fertilizer]],,,,,[[People's Republic of China]],[[Chairman]]: Mr. Zheng Changshan,"[[potash]], [[potassium chloride]], [[lithium carbonate]]",,,,,[https://web.archive.org/web/20090205194931/http://yhjf.com/ Qinghai Salt Lake Potash Company Limited],Qinghai Salt Lake Potash,,,,,1997,,"[[Golmud]], [[Qinghai]]",China,,,,,,,,,,,,,,,,,Qinghai Salt Lake Industry Group,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
China Pacific Insurance (Group),China Pacific Insurance Company.svg,[[Public Company|Public]],{{ubl|SSE|601601| (A share)|hkex|02601| (H share)|lse|CPIC}} {{SSE|601601}} (A share) {{hkex|02601}} (H share) {{lse|CPIC}},Financial services,,,,,China,{{aligned table|fullwidth|=|y|style|=|text-align: left; font-size: 100%;|Kong Qingwei|(chairman & executive&nbsp;director)|Huo Lianhong|(executive&nbsp;director)|ref|{{cite web|url=http://www.hkexnews.hk/listedco/listconews/SEHK/2017/0821/LTN20170821734.pdf|title=ANNOUNCEMENT ON CESSATION OF PRESIDENT|date=22 August 2017|access-date=29 August 2017|publisher=China Pacific Insurance|via=Hong Kong Stock Exchange}}|</ref>|Zhang Yuhua|(deputy president)}},,"{{increase}} {{CNY|link|=|yes|247.0&nbsp;[[1,000,000,000|billion]]}}",{{aligned table|fullwidth|=|y|style|=|text-align: left; font-size: 100%;|Central&nbsp;Government&nbsp;of&nbsp;China|(23.05%)|Shanghai&nbsp;Government|(21.33%)|China Securities Finance|(2.36%)}},,,[http://www.cpic.com.cn cpic.com.cn],China Pacific Insurance,中国太平洋保险(集团)股份有限公司,,,,{{start date and age|1991}},,[[Shanghai]],[[China]],Life and non-life insurance,2015,{{increase}} {{CNY|24.3&nbsp;billion}},2015,{{increase}} {{CNY|17.8&nbsp;billion}},2015,{{increase}} {{CNY|923.8&nbsp;billion}},2015,{{increase}} {{CNY|133.3&nbsp;billion}},2015,,in a consolidated basis,,,,,,,,,,,,,China Pacific Insurance Corporation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{{ubl|China Pacific Insurance|China Pacific Insurance Company|CPIC}},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TCL Technology Group Corp.,Logo of the TCL Corporation.svg,[[Public company|Public]]; partly [[state-owned enterprise]],{{szse|000100}} <br>[[CSI A100 Index|CSI A100]],[[Consumer electronics]]<br />[[Home appliance]]s<br /> [[Finance]],,,,,Worldwide,Li Dongsheng ([[Chief executive officer|CEO]]),"[[Television set]]s, [[mobile phone]]s, [[air conditioning]], [[washing machine]]s, [[refrigerator]]s, [[robotic vacuum cleaner|robot vacuum cleaner]]s",{{Increase}} [[United States dollar|US$]]20.895 billion <small>(2024)</small>,,"35,379 <small>(2019)</small>",{{ubl|[[TCL Electronics]] <small>(52.10%)</small>|TCL Communication|China Display|Tonly Electronics Holdings Limited|[[BlackBerry Mobile]] (discontinued)|[[Alcatel Mobile]] (under license)|[[Palm (companion)|Palm]]}},{{URL|https://www.tcl.com/|tcl.com}},TCL Corporation,TCL科技集团股份有限公司,180,TCL (building).png,Headquarters in 2021,{{start date and age|1981}} (as TTK)<br /> {{start date and age|1985}} (as TCL Corporation)<br /> {{start date and age|2020}} (as TCL Technology),Li Dongsheng ( {{zh|s|=|李东生|labels|=|no}} ) and Luca Situ ( {{zh|s|=|司徒立生|labels|=|no}} ),"[[Huizhou]], [[Guangdong]]",China,,,{{Increase}} US$3.691 billion <small>(2024)</small>,,{{Increase}} US$0.687 billion <small>(2024)</small>,,{{Increase}} US$19.279 billion <small>(2024)</small>,,{{Increase}} US$3.328 billion <small>(2024)</small>,,,,,,,,,,,,,,,,,,,,,TCL kējì jítuán gǔfèn yǒuxiàn gōngsī,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CITS Group Corporation<br>中国国旅集团有限公司,CITS Group logo.png,[[State-owned enterprise]],CSI A50 (China Tourism Group Duty Free Corporation Limited),{{ubl|[[Tourism]]|[[Leisure]]}},,,,,Worldwide,{{ubl|[[Gai Zhixin]] ([[Chairman]] and [[General Manager|GM]])}},,,[[Chinese Central Government]],,,{{URL|www.citsgroup.com.cn}} {{in lang|zh}},China International Travel Service,,300px,Grand Metropark Hotel Beijing Guanganmen (20250517183852).jpg,Headquarters in Beijing at Grand Metropark Hotel Beijing Guanganmen,{{Start date|1954|04|15}} (as the China International Travel Service)<br> {{Start date|2003|12|19}} (as CITS Group Corporation),,[[Beijing|Peking]],[[China|People's Republic of China]],{{ubl|[[Travel services]]|[[Duty-free trade]]|[[Real estate development]] and [[Real estate management|management]]|[[Communications]] and [[transport]]|[[E-commerce]]}},,,,,,,,,,,,,,,,,,,,,,,,,,zh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shanghai Pudong Development Bank Co. Ltd,SPD Bank Logo.svg,[[Public company]]; [[State-owned enterprise]],{{SSE|600000}},"[[Banking]], [[finance]]",,,,,,Gao Guofu <small>(Chairman)</small><br />[[Zhu Yuchen (born 1961)|Zhu Yuchen]] <small>(President)</small>,[[Financial services]],,,,,{{Official URL}},Shanghai Pudong Development Bank,上海浦东发展银行,,File:上海外滩汇丰银行大楼2021.jpg,"The SPDB now occupies the [[HSBC Building, Shanghai]] on [[The Bund (Shanghai)|The Bund]] of Shanghai",{{start date and age|1993|1|9|df|=|y}},,,,,,,,,,,,,,,,,,,,,"[[Shanghai]], [[China]]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sany Heavy Industry Co., Ltd.",SANY Group logo.svg,[[Limited company]],{{sse|600031}} <br>CSI A50<br> {{sehk|6031}},[[Heavy equipment]],,,,,Worldwide,"*Emily Herrera Chan, CPA (President)
*Engr. Jason Eugene Chan, CMA (Vice President)",,,,"Approximately 90,000",[[Putzmeister]],{{URL|https://www.sany.com.cn/en/}} (Sany Heavy Industry) {{URL|https://www.sanyglobal.com/}} (Sany Group),Sany Heavy Industry,,,,,"{{start date and age|df|=|y|1989}} (Maotang, [[Lianyuan]], [[Hunan Province]])",,"[[Changsha]], [[Hunan]]",[[China]],,,USD 16 billion (2021),,USD 1.82 billion (2021),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[[Liang Wengen]], Tang Xiuguo, Mao Zhongwu, Yuan Jinhua",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
China State Shipbuilding Corporation,CSSC logo.svg,[[State-owned enterprise]],,"[[Shipbuilding]], [[Arms industry|defense]]",{{start date and age|1982|5|4}},,,,Worldwide,Zhang Yingdai  ([[Chairman]]),,[[US$]] 48.9 billion (2023),,"196,309 (2023)",,,China CSSC Holdings,{{lang|zh-hans|中国船舶集团有限公司}},,,,,,"[[Huangpu District, Shanghai|Huangpu District]], [[Shanghai]]",[[China]],,,,,[[US$]] 2.4 billion (2023),,[[US$]] 143.7 billion (2023),,,,,,{{Official URL}},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hygon Information Technology Co. Ltd.,Hygon Information Technology.png,[[Public company|Public]],{{sse|688041}} <br>[[CSI A100 Index|CSI A100]],[[Semiconductors]],,,,,,Meng Xiantang (Chairman)<br>Sha Chaoqun (CEO),,{{Increase}} {{CNY|link|=|yes|6.01 billion}} (2023),[[Sugon]] (27.96%),"1,790 (2023)",,{{URL|www.hygon.cn}},Hygon Information Technology,海光信息技术股份有限公司,,,,{{start date and age|2014|10|24|df|=|y}},,,,,,,,{{Increase}} {{CNY|link|=|yes|1.70 billion}} (2023),,{{Increase}} {{CNY|link|=|yes|22.90 billion}} (2023),,{{Increase}} {{CNY|link|=|yes|20.32 billion}} (2023),,,,,,,,,"[[Beijing]], [[China]]",,,,,,,Tianjin Haiguang Advanced Technology Investment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CRRC Corporation Ltd.,CRRC Corporation Logo.png,[[State-owned enterprise]]; [[public company]],{{aligned table|SSE|601766|(A share)|sehk|1766|(H share)|CSI A50}} {{SSE|601766}} {{sehk|1766}},Manufacturing,,,,,{{ubl|China|exported worldwide}},"{{aligned table|style|=|text-align: left; font-size: 100%;|Liu&nbsp;Hualong|(chairman of the board, [[Party Committee Secretary|party&nbsp;secretary]])|ref| name = ""senior2015""|Xi&nbsp;Guohua|(vice-chairman, deputy party secretary, president)|ref| name = ""senior2015""|ref| name=CRRC2016AR|Sun&nbsp;Yongcai|(Eexecutive director, [[vice-president]])|ref| name=CRRC2016AR|ref| name=director1|Xu&nbsp;Zongxiang|(executive director)|ref| name=director1|{{cite web|url=http://www.hkexnews.hk/listedco/listconews/SEHK/2017/0620/LTN20170620715.pdf|title=List of Directors and their Role and Function|date=20 June 2017|access-date=22 June 2017|work=CRRC|publisher=Hong Kong Stock Exchange|archive-date=16 October 2022|archive-url=https://web.archive.org/web/20221016204106/https://www1.hkexnews.hk/listedco/listconews/sehk/2017/0620/ltn20170620715.pdf|url-status=live}}|</ref>|<hr>|Wan Jun|(chairman of the supervisory board, deputy party secretary )|Zhan Yanjing|(CFO & vice-president)|Wang Jun|(vice-president)|Lou Qiliang|(vice-president)|Yu Weiping|(vice-president)|ref|{{cite web|url=http://www.crrcgc.cc/g5080.aspx|title=股份领导|access-date=22 June 2017|publisher=CRRC|language=zh|archive-url=https://web.archive.org/web/20170611214801/http://www.crrcgc.cc/g5080.aspx|archive-date=11 June 2017|url-status=live}}|</ref>}}",[[Rolling stock]],"{{increase}} {{CNY|link|=|yes|214.521&nbsp;[[1,000,000,000|billion]]}}",{{aligned table|fullwidth|=|y|style|=|text-align: left; font-size: 100%;|[[CRRC Group]]|nowrap|(55.91%)|ref| name=CRRC2016AR|Rp|85|[[China Securities Finance|CSF]]|(|0|2.87%)|ref| name=CRRC2016AR|Rp|83|[[Central Huijin Investment|Central&nbsp;Huijin]]|(|0|1.12%)|ref| name=CRRC2016AR|Rp|83|general&nbsp;public|(40.10%)}} {{nowrap|(55.91%)|ref| name=CRRC2016AR|Rp|85}} {{Rp|85}} {{0}} 2.87%) {{Rp|83}} {{0}} 1.12%) {{Rp|83}},"183,061",,{{URL|https://www.crrcgc.cc/en|crrcgc.cc}},CRRC Corporation,中国中车股份有限公司,200,CRRC headquarters (20220419135919).jpg,"CRRC headquarters in Haidian District, Beijing",{{start date and age|1 June 2015}},[[CRRC Group]],[[Beijing]],China,,2018,,,{{increase}} {{CNY|0|12.998&nbsp;billion}} {{0}} 12.998&nbsp;billion,2018,"{{decrease}} {{CNY|357,523&nbsp;billion}}",2018,{{increase}} {{CNY|149.684&nbsp;billion}},2018,,"in [[consolidated financial statement]], in [[International Financial Reporting Standards|IFRS]]",,250,{{Infobox Chinese|child|=|yes|s|=|中国中车股份有限公司|t|=|中國中車股份有限公司|p|=|Zhōngguó Zhōngchē Gǔfèn Yǒuxiàn Gōngsī|order|=|st|altname|=|CRRC|s2|=|中国中车|t2|=|中國中車|p2|=|Zhōngguó Zhōngchē}},2016 {{Rp|60}},CRRC Group,,,,,,{{ubl|[[China CNR|CNR]]|[[CSR Corporation Limited|CSR]]}},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bank of Beijing,Bankofbeijing.svg,[[Public company|Public]],{{aligned table|SSE|601169|(ordinary)|nowrap|SSE|360018|([[preference share|preference]]&nbsp;1)|SSE|360023|(preference&nbsp;2)|nowrap|[[SSE 50 Index|SSE 50 Component]]}} {{SSE|601169}} {{nowrap|SSE|360018}} {{SSE|360018}} {{SSE|360023}} {{nowrap|[[SSE 50 Index|SSE 50 Component]]}},Financial services,,,,,"{{bullet list|mainland China|Hong&nbsp;Kong&nbsp;S.A.R., China (representative office)|Amsterdam, the&nbsp;Netherlands (representative office)}}",{{aligned table|Zhang Dongning|(chairman)|Yang Shujian|(governor)|Zeng Ying|(chief supervisor)}},,{{increase}} {{CNY|link|=|yes|0|00|50&nbsp;[[billion (short scale)|billion]]}} {{0|00}} 50&nbsp;[[billion (short scale)|billion]],{{aligned table|Beijing municipal government|(17.22%)|[[ING Group|ING Bank]]|(13.03%)|Macro-Link Holding|(|0|8.57%)|general public and other shareholders|(61.18%)}} {{0}} 8.57%),,,{{URL|http://www.bankofbeijing.com.cn}},Bank of Beijing,,,北京银行.jpg,,{{start date|1996|1|29|df|=|yes}},,[[Beijing]],China,{{ubl|retail banking|corporate banking|[[bancassurance]] (life insurance only)}},2017,{{increase}} {{CNY|0|00|23&nbsp;billion}} {{0|00}} 23&nbsp;billion,2017,{{increase}} {{CNY|0|00|19&nbsp;billion}} {{0|00}} 19&nbsp;billion,2017,{{increase}} {{CNY|2.329&nbsp;[[trillion (short scale)|trillion]]}},end 2017,{{increase}} {{CNY|0|175&nbsp;billion}} {{0}} 175&nbsp;billion,end 2017,,in [[consolidated financial statement]],,,"{{chinese |child|=|yes|s|=|北京银行股份有限公司|t|=|北京銀行股份有限公司|p|=|Běi jīng yín háng gǔ fèn yǒu xiàn gōng sī|l|=|Beijing Bank, Company Limited by Shares|order|=|st|altname|=|Chinese short name|s2|=|北京银行|t2|=|北京銀行|p2|=|Běi jīng yín háng}}",,,,1.2,{{ISIN|sl|=|n|pl|=|y|CNE100000734}},,{{increase}} 8.92% (CET1 at end 2017),,,,"BB+ (Fitch, September 2017)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,561 branches and representative offices,end 2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"NAURA Technology Group Co., Ltd.",NAURA Technology Group.png,[[Public company|Public]],{{Szse|002371}} <br>CSI A50,[[Semiconductors]],,,,,,Zhao Jinrong (Chairman)<br>Tao Haihong (CEO),,{{Increase}} {{CNY|link|=|yes|22.08 billion}} (2023),,"12,010 (2023)",,{{URL|www.naura.com}},NAURA Technology Group,北方华创科技集团股份有限公司,,,,{{start date and age|2001|9}},,,,,,,,{{Increase}} {{CNY|link|=|yes|4.03 billion}} (2023),,{{Increase}} {{CNY|link|=|yes|53.63  billion}} (2023),,{{Increase}} {{CNY|link|=|yes|24.83 billion}} (2023),,,,,,,,,"[[Beijing]], [[China]]",,,,,,,Beijing Sevenstar Electronics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"TBEA Co., Ltd.",TBEA logo.jpg,Public,{{SSE|600089}} <br>[[CSI A100 Index|CSI A100]],"Power engineering, electrical equipment manufacturing",,,,,,,{{ubl|Transformers|Cables and wires|Solar power stations|Aluminum ingots}},,,,,[http://www.tbea.com.cn/ www.tbea.com.cn],TBEA,,,,,,,"[[Changji]], [[Xinjiang]]",[[China]],,,,,,,,,,,,,,,{{Chinese|s|=|特变电工股份有限公司|altname|=|Chinese short name|s2|=|特变电工|order|=|st|child|=|yes}},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Huatai Securities Co., Ltd.",Huatai Securities.png,Public,{{SSE|601688}} (A share)<br/> {{HKEX|6886}} (H share)<br/> {{LSE|HTSC}} (GDR),[[Financial services]],,,,,,Wei Zhang (Chairman)<br>Yi Zhou (CEO),,{{Increase}} {{CNY|link|=|yes|51.92 billion}} (FY 2021),,"{{Increase}} 14,372 (FY 2021)",Huatai International<br>[[China Southern Asset Management]],{{URL|www.htsc.com.cn}},Huatai Securities,华泰证券股份有限公司,,,,{{start date and age|1991|04|09|df|=|y}},,"No. 228 Middle Jiangdong Road, [[Nanjing]], [[Jiangsu]]",[[People's Republic of China]],[[Broker-dealer|Securities brokerage]]<br>[[Investment banking]]<br>[[Investment management]],,,,{{Increase}} {{CNY|12.98 billion}} (FY 2021),,{{Increase}} {{CNY|806.65 billion}} (FY 2021),,{{Increase}} {{CNY|152.04 billion}} (FY 2021),,,,,,,,,,,,,,,,Jiangsu Securities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Foxconn Industrial Internet Co., Ltd.",Foxconn Industrial Internet.png,[[Public company|Public]] [[subsidiary]],{{Sse|601138}},[[Electrical equipment]],,,,,,Brand Cheng (chairman & CEO),,{{Decrease}} {{CNY|link|=|yes|476.34 billion}} (2023),,"191,521 (2023)",,{{URL|www.fii-foxconn.com}},Foxconn Industrial Internet,富士康工业互联网股份有限公司,,,,{{start date and age|df|=|y|2015|03|06}},,,,,,,,{{Increase}} {{CNY|link|=|yes|21.02 billion}} (2023),,{{Increase}} {{CNY|link|=|yes|287.71 billion}} (2023),,{{Increase}} {{CNY|link|=|yes|140.60 billion}} (2023),,,,,,,,[[Foxconn]],"[[Shenzhen]], [[Guangdong]], China",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"China Changan Automobile Group  Co., Ltd.",China Changan Automobile Group Logo.png,[[State-owned enterprises of China|State-owned]],,[[Automotive industry|Automotive]],,,,,Worldwide,"{{unbulleted list
  | Zhu Huarong (Chairman)
  | Zhao Fei (General Manager)}}",[[Motor vehicles]],,,,"{{ubl
  | [[Deepal]] (51%)
  | [[Changan Ford]] (50%)
  | [[Changan Mazda]] (50%)
  | [[Avatr Technology]] (40.99%)}}",[http://www.ccag.cn/ Official website],Chongqing Changan Automobile,,240px,,,"{{unbulleted list
  | |Start date and age|1862|}} {{Start date and age|1862}}",,[[Chongqing]],China,,,,,,,,,,,,,,,{{Infobox Chinese|child|=|yes|s|=|中国长安汽车集团有限公司|t|=|中國長安汽車集團有限公司|p|=|Zhōngguó Cháng'ān Qìchē jítuán Yǒuxiàn Gōngsī|l|=|China Changan Automobile Group Limited Corporation|t2|=|s2|=|p2|=|l2|=|order|=|st}},,[[SASAC]],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,683,798 (2024)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Tongwei Co., Ltd.",Tongwei Company.png,[[Public company|Public]],{{sse|600438}} <br>[[CSI A100 Index|CSI A100]],[[Energy industry|Energy]]<br>[[Agricultural industry|Agricultural]],,,,,,Liu Shuqi (Chairman & CEO),,{{Decrease}} {{CNY|link|=|yes|139.10 billion}} (2023),,"56,406 (2023)",,{{Official URL}},Tongwei Company,通威股份有限公司,,,,{{start date and age|1992}},,,,,,,,{{Decrease}} {{CNY|link|=|yes|18.25 billion}} (2023),,{{Increase}} {{CNY|link|=|yes|164.36 billion}} (2023),,{{Increase}} {{CNY|link|=|yes|73.83 billion}} (2023),,,,,,,,,"[[Chengdu]], [[Sichuan]], [[China]]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{{ubl
  |Liu Hanyuan}}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
